factor_code,weight,model_type,variable_code
CE_F0_34,0.187,Community,F0_34
CE_F35_44,0.206,Community,F35_44
CE_F45_54,0.275,Community,F45_54
CE_F55_59,0.333,Community,F55_59
CE_F60_64,0.411,Community,F60_64
CE_F65_69,0.299,Community,F65_69
CE_F70_74,0.368,Community,F70_74
CE_F75_79,0.457,Community,F75_79
CE_F80_84,0.544,Community,F80_84
CE_F85_89,0.637,Community,F85_89
CE_F90_94,0.761,Community,F90_94
CE_F95_GT,0.771,Community,F95_GT
CE_M0_34,0.12,Community,M0_34
CE_M35_44,0.164,Community,M35_44
CE_M45_54,0.217,Community,M45_54
CE_M55_59,0.249,Community,M55_59
CE_M60_64,0.389,Community,M60_64
CE_M65_69,0.328,Community,M65_69
CE_M70_74,0.413,Community,M70_74
CE_M75_79,0.517,Community,M75_79
CE_M80_84,0.597,Community,M80_84
CE_M85_89,0.692,Community,M85_89
CE_M90_94,0.834,Community,M90_94
CE_M95_GT,0.98,Community,M95_GT
CE_Medicaid_Female_Aged,0.179,Community,Medicaid_Female_Aged
CE_Medicaid_Female_Disabled,0.131,Community,Medicaid_Female_Disabled
CE_Medicaid_Male_Aged,0.166,Community,Medicaid_Male_Aged
CE_Medicaid_Male_Disabled,0.077,Community,Medicaid_Male_Disabled
CE_OriginallyDisabled_Female,0.204,Community,OriginallyDisabled_Female
CE_OriginallyDisabled_Male,0.168,Community,OriginallyDisabled_Male
CE_HCC1,0.945,Community,HCC1
CE_HCC2,0.759,Community,HCC2
CE_HCC5,0.3,Community,HCC5
CE_HCC7,2.276,Community,HCC7
CE_HCC8,1.053,Community,HCC8
CE_HCC9,0.794,Community,HCC9
CE_HCC10,0.208,Community,HCC10
CE_HCC15,0.508,Community,HCC15
CE_HCC16,0.408,Community,HCC16
CE_HCC17,0.339,Community,HCC17
CE_HCC18,0.259,Community,HCC18
CE_HCC19,0.162,Community,HCC19
CE_HCC21,0.856,Community,HCC21
CE_HCC25,0.978,Community,HCC25
CE_HCC26,0.406,Community,HCC26
CE_HCC27,0.406,Community,HCC27
CE_HCC31,0.311,Community,HCC31
CE_HCC32,0.403,Community,HCC32
CE_HCC33,0.241,Community,HCC33
CE_HCC37,0.535,Community,HCC37
CE_HCC38,0.346,Community,HCC38
CE_HCC44,1.015,Community,HCC44
CE_HCC45,0.912,Community,HCC45
CE_HCC51,0.274,Community,HCC51
CE_HCC52,0.274,Community,HCC52
CE_HCC54,0.524,Community,HCC54
CE_HCC55,0.353,Community,HCC55
CE_HCC67,1.011,Community,HCC67
CE_HCC68,0.993,Community,HCC68
CE_HCC69,0.558,Community,HCC69
CE_HCC70,0.395,Community,HCC70
CE_HCC71,0.327,Community,HCC71
CE_HCC72,0.599,Community,HCC72
CE_HCC73,0.592,Community,HCC73
CE_HCC74,0.267,Community,HCC74
CE_HCC75,0.415,Community,HCC75
CE_HCC77,1.867,Community,HCC77
CE_HCC78,1.082,Community,HCC78
CE_HCC79,0.578,Community,HCC79
CE_HCC80,0.41,Community,HCC80
CE_HCC81,0.359,Community,HCC81
CE_HCC82,0.284,Community,HCC82
CE_HCC83,0.244,Community,HCC83
CE_HCC92,0.293,Community,HCC92
CE_HCC95,0.324,Community,HCC95
CE_HCC96,0.265,Community,HCC96
CE_HCC100,0.437,Community,HCC100
CE_HCC101,0.18,Community,HCC101
CE_HCC104,0.61,Community,HCC104
CE_HCC105,0.316,Community,HCC105
CE_HCC107,0.399,Community,HCC107
CE_HCC108,0.399,Community,HCC108
CE_HCC111,0.703,Community,HCC111
CE_HCC112,0.249,Community,HCC112
CE_HCC119,0.252,Community,HCC119
CE_HCC130,1.349,Community,HCC130
CE_HCC131,0.368,Community,HCC131
CE_HCC132,0.125,Community,HCC132
CE_HCC148,1.153,Community,HCC148
CE_HCC149,0.449,Community,HCC149
CE_HCC150,1.416,Community,HCC150
CE_HCC154,0.415,Community,HCC154
CE_HCC155,0.106,Community,HCC155
CE_HCC157,0.443,Community,HCC157
CE_HCC158,0.429,Community,HCC158
CE_HCC161,0.678,Community,HCC161
CE_HCC164,0.296,Community,HCC164
CE_HCC174,0.705,Community,HCC174
CE_HCC176,0.662,Community,HCC176
CE_HCC177,0.678,Community,HCC177
CE_D_HCC5,0.623,Community,D_HCC5
CE_D_HCC44,1.036,Community,D_HCC44
CE_D_HCC51,0.729,Community,D_HCC51
CE_D_HCC52,0.31,Community,D_HCC52
CE_D_HCC107,1.097,Community,D_HCC107
CE_DM_CHF1,0.154,Community,DM_CHF1
CE_DM_CVD,0.102,Community,DM_CVD
CE_CHF_COPD,0.219,Community,CHF_COPD
CE_COPD_CVD_CAD,0.173,Community,COPD_CVD_CAD
CE_RF_CHF1,0.231,Community,RF_CHF1
CE_RF_CHF_DM,0.477,Community,RF_CHF_DM
INS_F0_34,1.026,Institutional,F0_34
INS_F35_44,0.884,Institutional,F35_44
INS_F45_54,0.888,Institutional,F45_54
INS_F55_59,0.943,Institutional,F55_59
INS_F60_64,0.943,Institutional,F60_64
INS_F65_69,0.971,Institutional,F65_69
INS_F70_74,0.931,Institutional,F70_74
INS_F75_79,0.835,Institutional,F75_79
INS_F80_84,0.775,Institutional,F80_84
INS_F85_89,0.704,Institutional,F85_89
INS_F90_94,0.614,Institutional,F90_94
INS_F95_GT,0.457,Institutional,F95_GT
INS_M0_34,1.03,Institutional,M0_34
INS_M35_44,0.871,Institutional,M35_44
INS_M45_54,0.871,Institutional,M45_54
INS_M55_59,0.978,Institutional,M55_59
INS_M60_64,1.015,Institutional,M60_64
INS_M65_69,1.221,Institutional,M65_69
INS_M70_74,1.154,Institutional,M70_74
INS_M75_79,1.143,Institutional,M75_79
INS_M80_84,1.087,Institutional,M80_84
INS_M85_89,1.001,Institutional,M85_89
INS_M90_94,0.932,Institutional,M90_94
INS_M95_GT,0.743,Institutional,M95_GT
INS_MCAID,0.091,Institutional,MCAID
INS_ORIGDS,0.023,Institutional,ORIGDS
INS_HCC1,0.967,Institutional,HCC1
INS_HCC2,0.764,Institutional,HCC2
INS_HCC5,0.288,Institutional,HCC5
INS_HCC7,0.824,Institutional,HCC7
INS_HCC8,0.47,Institutional,HCC8
INS_HCC9,0.368,Institutional,HCC9
INS_HCC10,0.182,Institutional,HCC10
INS_HCC15,0.459,Institutional,HCC15
INS_HCC16,0.459,Institutional,HCC16
INS_HCC17,0.459,Institutional,HCC17
INS_HCC18,0.459,Institutional,HCC18
INS_HCC19,0.248,Institutional,HCC19
INS_HCC21,0.374,Institutional,HCC21
INS_HCC25,0.654,Institutional,HCC25
INS_HCC26,0.384,Institutional,HCC26
INS_HCC27,0.384,Institutional,HCC27
INS_HCC31,0.345,Institutional,HCC31
INS_HCC32,0.309,Institutional,HCC32
INS_HCC33,0.205,Institutional,HCC33
INS_HCC37,0.497,Institutional,HCC37
INS_HCC38,0.215,Institutional,HCC38
INS_HCC44,0.493,Institutional,HCC44
INS_HCC45,0.427,Institutional,HCC45
INS_HCC51,0.0,Institutional,HCC51
INS_HCC52,0.0,Institutional,HCC52
INS_HCC54,0.351,Institutional,HCC54
INS_HCC55,0.293,Institutional,HCC55
INS_HCC67,0.434,Institutional,HCC67
INS_HCC68,0.434,Institutional,HCC68
INS_HCC69,0.225,Institutional,HCC69
INS_HCC70,0.0,Institutional,HCC70
INS_HCC71,0.225,Institutional,HCC71
INS_HCC72,0.145,Institutional,HCC72
INS_HCC73,0.092,Institutional,HCC73
INS_HCC74,0.177,Institutional,HCC74
INS_HCC75,0.0,Institutional,HCC75
INS_HCC77,1.559,Institutional,HCC77
INS_HCC78,1.235,Institutional,HCC78
INS_HCC79,0.445,Institutional,HCC79
INS_HCC80,0.228,Institutional,HCC80
INS_HCC81,0.424,Institutional,HCC81
INS_HCC82,0.424,Institutional,HCC82
INS_HCC83,0.29,Institutional,HCC83
INS_HCC92,0.207,Institutional,HCC92
INS_HCC95,0.179,Institutional,HCC95
INS_HCC96,0.179,Institutional,HCC96
INS_HCC100,0.039,Institutional,HCC100
INS_HCC101,0.0,Institutional,HCC101
INS_HCC104,0.482,Institutional,HCC104
INS_HCC105,0.165,Institutional,HCC105
INS_HCC107,0.631,Institutional,HCC107
INS_HCC108,0.359,Institutional,HCC108
INS_HCC111,0.573,Institutional,HCC111
INS_HCC112,0.181,Institutional,HCC112
INS_HCC119,0.497,Institutional,HCC119
INS_HCC130,1.718,Institutional,HCC130
INS_HCC131,0.388,Institutional,HCC131
INS_HCC132,0.253,Institutional,HCC132
INS_HCC148,0.485,Institutional,HCC148
INS_HCC149,0.241,Institutional,HCC149
INS_HCC150,0.0,Institutional,HCC150
INS_HCC154,0.0,Institutional,HCC154
INS_HCC155,0.0,Institutional,HCC155
INS_HCC157,0.161,Institutional,HCC157
INS_HCC158,0.0,Institutional,HCC158
INS_HCC161,0.26,Institutional,HCC161
INS_HCC164,0.309,Institutional,HCC164
INS_HCC174,0.92,Institutional,HCC174
INS_HCC176,0.841,Institutional,HCC176
INS_HCC177,0.26,Institutional,HCC177
INS_D_HCC5,1.016,Institutional,D_HCC5
INS_D_HCC44,0.362,Institutional,D_HCC44
INS_D_HCC51,0.299,Institutional,D_HCC51
INS_D_HCC52,0.299,Institutional,D_HCC52
INS_D_HCC107,0.0,Institutional,D_HCC107
INS_DM_CHF1,0.125,Institutional,DM_CHF1
INS_DM_CVD,0.028,Institutional,DM_CVD
INS_CHF_COPD,0.194,Institutional,CHF_COPD
INS_COPD_CVD_CAD,0.071,Institutional,COPD_CVD_CAD
INS_RF_CHF1,0.0,Institutional,RF_CHF1
INS_RF_CHF_DM,0.358,Institutional,RF_CHF_DM
NE_NEF0_34,0.496,New_Enrollee,NEF0_34
NE_NEF35_44,0.652,New_Enrollee,NEF35_44
NE_NEF45_54,0.841,New_Enrollee,NEF45_54
NE_NEF55_59,0.969,New_Enrollee,NEF55_59
NE_NEF60_64,1.094,New_Enrollee,NEF60_64
NE_NEF65,0.497,New_Enrollee,NEF65
NE_NEF66,0.554,New_Enrollee,NEF66
NE_NEF67,0.595,New_Enrollee,NEF67
NE_NEF68,0.619,New_Enrollee,NEF68
NE_NEF69,0.652,New_Enrollee,NEF69
NE_NEF70_74,0.759,New_Enrollee,NEF70_74
NE_NEF75_79,0.955,New_Enrollee,NEF75_79
NE_NEF80_84,1.118,New_Enrollee,NEF80_84
NE_NEF85_89,1.255,New_Enrollee,NEF85_89
NE_NEF90_94,1.358,New_Enrollee,NEF90_94
NE_NEF95_GT,1.232,New_Enrollee,NEF95_GT
NE_NEM0_34,0.344,New_Enrollee,NEM0_34
NE_NEM35_44,0.583,New_Enrollee,NEM35_44
NE_NEM45_54,0.729,New_Enrollee,NEM45_54
NE_NEM55_59,0.827,New_Enrollee,NEM55_59
NE_NEM60_64,1.033,New_Enrollee,NEM60_64
NE_NEM65,0.55,New_Enrollee,NEM65
NE_NEM66,0.586,New_Enrollee,NEM66
NE_NEM67,0.664,New_Enrollee,NEM67
NE_NEM68,0.664,New_Enrollee,NEM68
